timestamp,git_sha,server,endpoint,n,c,m,reqs_per_s,p50_us,p99_us,p999_us,bytes_per_req
2026-04-28T00:50:41Z,2c9d74f,hyper,/json/50?m=6,200000,50,16,423648.03,0,0,0,11
2026-04-28T00:50:41Z,2c9d74f,hyper,/static/footer.html,200000,50,16,30590.66,12967,19486,27295,56376
2026-04-28T00:51:11Z,2c9d74f,mojo-net,/baseline2?a=1&b=2,200000,50,16,406512.33,891,1771,2632,22
2026-04-28T00:51:11Z,2c9d74f,mojo-net,/json/50?m=6,200000,50,16,52863.61,11154,23282,30080,8418
2026-04-28T00:51:11Z,2c9d74f,mojo-net,/static/footer.html,200000,50,16,392053.85,0,0,0,29
2026-04-28T00:51:11Z,2c9d74f,hyper,/baseline2?a=1&b=2,200000,50,16,378898.39,917,2312,3903,27
2026-04-28T00:51:11Z,2c9d74f,hyper,/json/50?m=6,200000,50,16,372697.66,0,0,0,11
2026-04-28T00:51:11Z,2c9d74f,hyper,/static/footer.html,200000,50,16,29307.31,13379,20901,27870,56376
2026-04-28T00:51:40Z,2c9d74f,mojo-net,/baseline2?a=1&b=2,200000,50,16,396117.26,945,1761,2299,22
2026-04-28T00:51:40Z,2c9d74f,mojo-net,/json/50?m=6,200000,50,16,45517.45,13421,32567,45388,8418
2026-04-28T00:51:40Z,2c9d74f,mojo-net,/static/footer.html,200000,50,16,413515.34,0,0,0,29
2026-04-28T00:51:40Z,2c9d74f,hyper,/baseline2?a=1&b=2,200000,50,16,376120.84,931,2320,2942,27
2026-04-28T00:51:40Z,2c9d74f,hyper,/json/50?m=6,200000,50,16,397038.88,0,0,0,11
2026-04-28T00:51:40Z,2c9d74f,hyper,/static/footer.html,200000,50,16,29849.14,13290,20545,25294,56376
2026-04-28T00:58:59Z,2c9d74f,mojo-net,/baseline2?a=1&b=2,200000,50,16,412566.78,871,2859,4943,22
2026-04-28T00:58:59Z,2c9d74f,mojo-net,/json/50?m=6,200000,50,16,53937.59,10153,23856,31963,8418
2026-04-28T00:58:59Z,2c9d74f,mojo-net,/static/footer.html,200000,50,16,6120.00,92724,294373,358923,56369
2026-04-28T00:58:59Z,2c9d74f,hyper,/baseline2?a=1&b=2,200000,50,16,376988.61,929,2317,3887,27
2026-04-28T00:58:59Z,2c9d74f,hyper,/json/50?m=6,200000,50,16,423877.89,0,0,0,11
2026-04-28T00:58:59Z,2c9d74f,hyper,/static/footer.html,200000,50,16,31123.29,12487,20119,23598,56376
2026-04-28T01:00:36Z,2c9d74f,mojo-net,/baseline2?a=1&b=2,200000,50,16,403721.50,948,1826,3033,22
2026-04-28T01:00:36Z,2c9d74f,mojo-net,/json/50?m=6,200000,50,16,55809.77,10861,23894,31795,8418
2026-04-28T01:00:36Z,2c9d74f,mojo-net,/static/footer.html,200000,50,16,5944.70,115837,269488,347830,56369
2026-04-28T01:00:36Z,2c9d74f,hyper,/baseline2?a=1&b=2,200000,50,16,364199.88,974,2257,3810,27
2026-04-28T01:00:36Z,2c9d74f,hyper,/json/50?m=6,200000,50,16,419531.72,0,0,0,11
2026-04-28T01:00:36Z,2c9d74f,hyper,/static/footer.html,200000,50,16,30470.75,12956,19488,28976,56376
2026-04-28T01:12:03Z,2c9d74f,mojo-net,/baseline2?a=1&b=2,200000,50,16,443974.82,853,1565,2356,22
2026-04-28T01:12:03Z,2c9d74f,mojo-net,/json/50?m=6,200000,50,16,44114.26,12094,38316,44213,8418
2026-04-28T01:12:03Z,2c9d74f,mojo-net,/static/footer.html,200000,50,16,5330.26,126230,307372,397802,56369
2026-04-28T01:12:03Z,2c9d74f,hyper,/baseline2?a=1&b=2,200000,50,16,328950.61,1053,2759,3724,27
2026-04-28T01:12:03Z,2c9d74f,hyper,/json/50?m=6,200000,50,16,401517.74,0,0,0,11
2026-04-28T01:12:03Z,2c9d74f,hyper,/static/footer.html,200000,50,16,29526.21,13295,20683,31159,56376
2026-04-28T01:13:41Z,2c9d74f,mojo-net,/baseline2?a=1&b=2,200000,50,16,440722.79,833,1727,2230,22
2026-04-28T01:13:41Z,2c9d74f,mojo-net,/json/50?m=6,200000,50,16,50381.16,10791,26104,32957,8418
2026-04-28T01:13:41Z,2c9d74f,mojo-net,/static/footer.html,200000,50,16,5506.35,111358,302077,415844,56369
2026-04-28T01:13:41Z,2c9d74f,hyper,/baseline2?a=1&b=2,200000,50,16,332499.87,1047,2654,3740,27
2026-04-28T01:13:41Z,2c9d74f,hyper,/json/50?m=6,200000,50,16,382050.50,0,0,0,11
2026-04-28T01:13:41Z,2c9d74f,hyper,/static/footer.html,200000,50,16,29500.84,13616,19416,23269,56376
2026-04-28T01:15:18Z,2c9d74f,mojo-net,/baseline2?a=1&b=2,200000,50,16,432037.29,869,1604,2045,22
2026-04-28T01:15:18Z,2c9d74f,mojo-net,/json/50?m=6,200000,50,16,47878.05,11191,32322,40556,8418
2026-04-28T01:15:18Z,2c9d74f,mojo-net,/static/footer.html,200000,50,16,5481.79,124755,301375,357318,56369
2026-04-28T01:15:18Z,2c9d74f,hyper,/baseline2?a=1&b=2,200000,50,16,381477.73,947,2120,4074,27
2026-04-28T01:15:18Z,2c9d74f,hyper,/json/50?m=6,200000,50,16,327200.51,0,0,0,11
2026-04-28T01:15:18Z,2c9d74f,hyper,/static/footer.html,200000,50,16,29855.76,13279,19765,22556,56376
